STT	Vấn đề	Mô tả nội dung	Điểm cần chốt	Trạng thái	Ngày gửi yêu cầu	Nội dung VNA phản hồi	Nhóm phân hệ	Phân loại
139	Định dạng tệp SSIM Sabre — chuẩn IATA hay biến thể NetLine Classic	Sabre đang dùng định dạng SSIM nào (chuẩn IATA hay biến thể của NetLine Classic), và ai chịu trách nhiệm chế biến nếu khác chuẩn (đề xuất ISB của NetLine chứ không phải TOSS)?	Định dạng tệp SSIM Sabre là chuẩn IATA hay biến thể NetLine Classic, và ai chịu trách nhiệm chế biến (ISB hay TOSS)?	Mở			PH5	Nghiệp vụ
140	Rate limit Amadeus cho quét PTM/PNL/ADL	Amadeus cho phép quét 5 phút/lần cho cửa sổ 48 giờ trước cất cánh. Cần xác nhận và có cơ chế đo lường + chống robot trước khi triển khai PTM/PNL/ADL.	Rate limit Amadeus 5 phút/lần cho cửa sổ 48 giờ trước cất cánh có đúng không, và cơ chế đo lường + chống robot ra sao?	Mở			PH5	Nghiệp vụ
141	Tần suất quét cập nhật Crew Assignment sau initial	Sau khi đã có lịch tháng (quét initial 02:00 ngày 26), cần xác nhận tần suất delta + rate-limit AVES cho cập nhật Crew Assignment.	Tần suất quét delta cập nhật Crew Assignment sau initial 02:00 ngày 26 là bao nhiêu, và rate-limit AVES ra sao?	Mở			PH5	Nghiệp vụ
142	Trách nhiệm tính Crew Connection — TOSS hay NetLine	Crew Connection (tổ bay nối chuyến): NetLine tự tính từ dữ liệu phân công TOSS gửi, hay TOSS phải tự tính và gửi sẵn dữ liệu nối chuyến theo định dạng riêng? NetOps đang hỏi lại nội bộ.	Trách nhiệm tính Crew Connection thuộc TOSS hay NetLine, và nếu TOSS thì định dạng dữ liệu nối chuyến cần gửi ra sao?	Mở			PH5	Nghiệp vụ
143	Nguồn Pax Detail và quan hệ với Load Sheet	Pax Detail (điện gửi sau cất cánh, passengers boarded) có chứa Load Sheet đầy đủ không, và lấy từ Amadeus hay nguồn khác?	Pax Detail có chứa Load Sheet đầy đủ không, và nguồn là Amadeus hay nguồn khác?	Mở			PH5	Nghiệp vụ
144	Cấu trúc dữ liệu NOTAM từ Quản lý bay	Nguyên tắc kết nối VPN trực tiếp đã đồng ý, nhưng chưa chốt nội dung. Cần cấu trúc dữ liệu cụ thể và các trường/cột Quản lý bay cho phép lấy. Bạn An đang lấy đủ cấu trúc để xây lại theo định dạng giống Lido cung cấp.	Cấu trúc dữ liệu NOTAM lấy từ Quản lý bay gồm những trường/cột nào, và VNA sẵn sàng mở những trường nào?	Mở			PH5	Nghiệp vụ
145	Mục đích sử dụng NOTAM phía OPS++	Người dùng trên OPS++ quan tâm NOTAM để làm gì? Nếu không trả lời được thì việc TOSS tích hợp một nhiệm vụ siêu phức tạp vào hệ thống không rõ mục đích là không hợp lý (anh Hiệp đặt vấn đề 23/06).	Mục đích sử dụng NOTAM phía OPS++ cụ thể là gì, để xác định mức độ chi tiết cần tích hợp?	Mở			PH5	Nghiệp vụ
146	Flight Data từ A-CDM — mẫu điện và phương thức truyền	Flight Data từ A-CDM (T-SAT, C-TOT và các mốc A-CDM khác) còn pending trong bảng tổng hợp tích hợp. Cần mẫu điện cụ thể và phương thức truyền.	Flight Data từ A-CDM (T-SAT, C-TOT, các mốc khác) có mẫu điện và phương thức truyền cụ thể là gì?	Mở			PH5	Nghiệp vụ
147	So sánh schema NetLine Classic vs Clone DB VNA	"Cần một đợt phân tích so sánh schema riêng giữa DB nội bộ TOSS, NetLine Classic và Clone DB VNA. Chị Lê và anh Hiệp nhấn mạnh ""không phải tương tự mà phải là exactly"" trước khi triển khai."	Bảng nào của NetLine Classic ứng với bảng nào trong Clone DB VNA (so sánh chính xác từng bảng) — đề nghị phối hợp workshop schema riêng?	Mở			PH5	Nghiệp vụ
148	Cơ chế đồng bộ Event-Based vào DB nội bộ TOSS	Cần làm rõ tần suất, độ trễ, xử lý event đến không thứ tự (out-of-order), xử lý event bị mất (missing event), cơ chế retry/reconciliation cho DB nội bộ TOSS thay thế Clone DB.	Cơ chế đồng bộ Event-Based vào DB nội bộ TOSS (tần suất, độ trễ, out-of-order, missing event, retry/reconciliation) như thế nào?	Mở			PH5	Nghiệp vụ
149	Cargo Spot — quét trực tiếp DB view hay qua bản nhân bản	"TOSS quét trực tiếp DB view của Cargo Spot hay phải qua một bản nhân bản trung gian, kèm quy tắc rate-limit khi quét DB view liên tục? Hiện trạng bảng tích hợp là ""Missing"" (chưa có mẫu điện cụ thể)."	Cargo Spot — TOSS quét trực tiếp DB view hay qua bản nhân bản trung gian, và rate-limit khi quét DB view là gì?	Mở			PH5	Nghiệp vụ
150	B787 DFD APM — 2 version trên cùng đội tàu	B787 hiện có 2 version APM (<202>JEG APU report; <701>IEG APM V2; A321/A350 dùng REP002). Đề nghị xác nhận hiện có dùng cả 2 version APM trên tàu B787 không, và điện B787 DFD APU có thời gian khởi động/tắt APU không.	B787 DFD APM có dùng đồng thời 2 version (<202>JEG và <701>IEG APM V2) không, và điện DFD APU có thời gian khởi động/tắt APU ở đoạn nào?	Mở			PH5	Nghiệp vụ
151	ACARS — đơn vị /FOB trong A80 Position Report	Đơn vị /FOB trong A80 Position Report là kg, lb hay 100×lb? Ảnh hưởng trực tiếp tính nhiên liệu cho FMM và Fuel Report.	Đơn vị /FOB trong điện A80 Position Report là kg, lb hay 100×lb?	Mở			PH5	Nghiệp vụ
152	ACARS — Q-series DFD decode spec	"BR-530b mới nói ""Cassiopee Alpha"", chưa cover Q-series (Q4/Q5/Q6/Q7/Q8 biến thể 2). Đề nghị cung cấp tài liệu decode spec."	Tài liệu decode spec cho Q-series DFD (Q4/Q5/Q6/Q7/Q8 biến thể 2) ai cung cấp và lấy ở đâu?	Mở			PH5	Nghiệp vụ
153	ACARS — Fault code library cho CFD (CSAS/IGGS)	Cần bảng tra fault code để parser CFD forward sang AMOS. Đề nghị xác nhận ai cung cấp (Airbus/Boeing).	Fault code library cho CFD (CSAS/IGGS) do Airbus hay Boeing cung cấp, và làm sao TOSS lấy được?	Mở			PH5	Nghiệp vụ
154	ACARS — SMA (SATCOM Message) nội dung và lưu trữ	SMA chiếm ~12.1% volume nhưng không parse được; hiện không có BR raw archive. Đề nghị làm rõ nội dung SMA và có cần lưu/giải mã không.	SMA (SATCOM Message) nội dung là gì, có cần lưu/giải mã trong TOSS không?	Mở			PH5	Nghiệp vụ
155	ACARS — DEP/ARR body trống, dữ liệu chỉ trong FI field	Điện DEP/ARR có body trống, dữ liệu chỉ nằm trong FI field. Đây là chuẩn hay có version khác (Honeywell A350)? Ảnh hưởng parser FUNC-519-04 (OOOI).	DEP/ARR body trống (dữ liệu chỉ trong FI field) là chuẩn hay có version khác (Honeywell A350)?	Mở			PH5	Nghiệp vụ
156	ACARS — tỷ lệ REJ (Rejected frame) ~8.6%	Tỷ lệ REJ (Rejected frame) ~8.6% có bình thường không, có retry protocol không? Đề nghị xem xét đưa thành chỉ số bắt buộc trong Data Coverage Report (BR-534) và BR raw archive cho REJ + MED + SMA + TT5/TT6.	Tỷ lệ REJ ACARS ~8.6% có bình thường không, có retry protocol không, và TOSS cần lưu raw archive cho các nhóm nào?	Mở			PH5	Nghiệp vụ
157	ACARS — FML (Fuel Management Log) có Wind/Runway không	FML (Fuel Management Log) có Wind + Runway lúc cất cánh không? Confirm thông tin Runway trong điện? Bổ sung trường dữ liệu cho FMM.	FML (Fuel Management Log) có chứa Wind + Runway lúc cất cánh không, và FMM có cần các trường này không?	Mở			PH5	Nghiệp vụ
158	ACARS — quy tắc ưu tiên đa nguồn OOOI	FUNC-519-04 không nói thứ tự ưu tiên giữa các label OOOI (MVA → DEP/ARR/M11/M13/M14 → A80 SUMMRY fallback).	Quy tắc ưu tiên đa nguồn OOOI (MVA → DEP/ARR/M11/M13/M14 → A80 SUMMRY fallback) có đúng không, và quy tắc fallback cụ thể?	Mở			PH5	Nghiệp vụ
159	Data contract API/Webhook và danh sách hệ thống vệ tinh nhận danh mục	Cần data contract API/Webhook và danh sách hệ thống vệ tinh nhận dữ liệu danh mục từ TOSS.	Data contract API/Webhook và danh sách hệ thống vệ tinh nhận dữ liệu danh mục từ TOSS gồm những hệ thống nào?	Mở			PH5	Nghiệp vụ
160	Phương thức tích hợp từng hệ thống (Netline/OPS++, Amadeus PSS real-time?, Lido mPilot)	Cần xác nhận phương thức tích hợp cụ thể cho từng hệ thống: Netline/OPS++, Amadeus PSS (có real-time không), Lido mPilot.	Phương thức tích hợp cụ thể cho Netline/OPS++, Amadeus PSS (real-time?), Lido mPilot là gì?	Mở			PH5	Nghiệp vụ
161	Lịch khảo sát với team AMOS/VICO	Đã thống nhất trong buổi 17/06 cần lịch buổi khảo sát riêng với team AMOS/VICO để xác định cấu trúc DB AMOS phục vụ tích hợp MEL.	Lịch buổi khảo sát với team AMOS/VICO để xác định cấu trúc DB AMOS dự kiến khi nào?	Mở			PH5	Nghiệp vụ
162	"Vasco và ý nghĩa ""HT 30-31"""	"Trong khảo sát 09/06 (cuối Part 2, có nhiễu ASR) có nhắc ""Vasco"" và ""HT 30-31"" trong câu chuyện hợp nhất khai thác. Đề nghị xác nhận tên đầy đủ và ngữ cảnh."	"Vasco tên đầy đủ là gì và ""HT 30-31"" mang ý nghĩa gì trong câu chuyện hợp nhất khai thác?"	Mở			Chung	Nghiệp vụ
163	Nghĩa viết tắt OAP / OSP / OMP	Trong ghi âm 15/06 có các viết tắt OAP/OSP/OMP. Đề nghị xác nhận nghĩa từng viết tắt.	Các viết tắt OAP / OSP / OMP trong nghiệp vụ điều phái mang ý nghĩa gì?	Mở			Chung	Thuật ngữ/ASR
164	Môi trường kiểm thử — tài nguyên thật hay tách bạch	Cần xác nhận TOSS được phép kiểm thử trên tài nguyên thật hay phải có môi trường riêng tách bạch.	Môi trường kiểm thử TOSS đi thẳng vào tài nguyên thật hay phải có môi trường riêng tách bạch?	Mở			Chung	Nghiệp vụ
165	Cơ chế đa phiên tham chiếu (multi-session)	Hệ thống nước ngoài có cơ chế đa phiên tham chiếu theo vai trò. TOSS có triển khai trong giai đoạn này hay không?	TOSS có triển khai cơ chế đa phiên tham chiếu (multi-session theo vai trò) trong giai đoạn này không?	Mở			Chung	Nghiệp vụ
166	Các ô YCKT V3 còn trống	YCKT V3 có các ô còn trống: TOSS-003/004, TOSS-021–024, TOSS-058–061…; sheet Nhân sự CQĐV thiếu đầu mối. Đề nghị phối hợp rà soát.	Các ô YCKT V3 còn trống (TOSS-003/004, TOSS-021–024, TOSS-058–061…) và sheet Nhân sự CQĐV thiếu đầu mối — đề nghị VNA bổ sung.	Mở			Chung	Nghiệp vụ
167	Tiến độ cấp hạ tầng đám mây và số máy chủ	Cần chốt tiến độ cấp hạ tầng đám mây + số máy chủ & địa chỉ mạng (ràng buộc 30/06/2026).	Tiến độ cấp hạ tầng đám mây và số máy chủ & địa chỉ mạng (ràng buộc 30/06/2026) hiện đến đâu?	Đang xử lý			Chung	Nghiệp vụ
168	Lịch khảo sát chuyên đề luồng tài liệu + điện văn ACARS	Cần lịch buổi khảo sát chuyên đề luồng tài liệu + điện văn ACARS (gỡ chặn PH2).	Lịch buổi khảo sát chuyên đề luồng tài liệu + điện văn ACARS dự kiến khi nào?	Mở			Chung	Nghiệp vụ
